,Principal Component 1,Principal Component 2,Principal Component 3,Principal Component 4,Principal Component 5,Principal Component 6,Principal Component 7,Principal Component 8,Principal Component 9,Principal Component 10,Principal Component 11,Principal Component 12,Principal Component 13,Principal Component 14,Principal Component 15,Principal Component 16,Principal Component 17,Principal Component 18,Principal Component 19,Principal Component 20,Principal Component 21,Principal Component 22,Principal Component 23,Principal Component 24,Principal Component 25,Principal Component 26,Principal Component 27,Principal Component 28,Principal Component 29,Principal Component 30,Principal Component 31,Principal Component 32,Principal Component 33,Principal Component 34,Principal Component 35
4761,7.143322105054452,-1.159003956171022,-2.016225567864401,-3.9013875653735934,1.5741994152175784,1.01239930350464,-4.452294261783526,0.11145720268874329,-4.920593100815065,-2.736626716407982,-0.8934251215227164,0.18723730389053447,0.9179299877058884,-0.8389307163473215,-0.8667406253541907,0.24647622632873173,0.6134202753192797,0.4797356428549604,-0.005196130710864606,0.004911458171640482,-1.432076950607144,0.30935463553724873,-1.651356358180888,-0.3854550199562563,-0.8558199464373232,0.8512111973824634,1.1159285005325819,-0.3157643992334688,0.050013039543929126,-0.10263229263353302,-0.8640462267498156,-1.5849945251019033,-0.005594897720648223,0.7210836657807677,-4.315102754682181
2447,-1.576341734802968,-0.2065948596672911,-4.1067683960496,-4.517526161318379,0.5114162396143164,-0.22303661487138274,-0.46261207645736724,1.692101677794492,0.10971993982621918,0.5114890293960598,-1.8048737140933242,-0.13046470144342068,-0.9658484888115881,1.1495022326584103,0.6234793057129069,-0.3476091341169845,0.8440346413382653,0.6061675490670978,0.6399970116527507,-1.3675617849958936,-0.06360939052011207,0.5499248671507232,-0.7971847046583198,-1.2769689335610523,-0.15130134224278283,-1.3243886412234576,-0.3447310473652411,0.12643761082389743,0.24864159011639683,-0.07026927200154441,0.2048501510158184,0.00553081398135079,0.5860401049045071,2.1415692518046803,0.007815543938565447
2293,-1.3749256849666296,-0.15492499306816282,-5.001819883995964,-0.958955556786248,1.2152818008169857,-0.22643280931452386,-0.08282628502789963,-0.32437487388251757,-0.12918142150339607,-0.21519597446074085,-0.5018547191384491,-0.7536845996509083,0.4907762388725309,-3.322257838187392,-0.09071303402838295,-0.06871293376268203,0.2639283393376736,-0.6787987556538065,-0.11399274319384871,-0.5344686133166733,-0.7892341264930984,0.8197294584106297,-0.7201719877216217,0.2644065208045906,-0.5550360012960881,-0.5125957215319902,1.2226029177772653,-0.5210206448391214,1.343817029870883,-1.2615394189195541,-0.5603913064506257,-0.0717959053705413,-0.3513976063351683,0.6220826501839405,0.5266249919244971
253,-1.696640520993632,-0.13074958965304068,-5.931164867035052,0.18475429183861372,1.8150176714896722,-0.2513777663850595,0.51065148459317,-2.140326363956737,-0.8146489762733916,-0.8196848185284572,3.217721061240785,1.5013988345438307,-1.8173871828605632,-0.05337919760720386,0.5684637036804878,-0.31026544973211445,-1.4085379653557224,-1.9212076422112394,0.26396183502291,-0.20722582348010707,-3.885650763217438,0.5036218565555407,4.629505656909763,0.23007254683735057,-0.35031080374848966,-0.554654383105037,-1.4712488327754945,1.5614546478250446,0.20864773595990685,-1.0123422279316538,0.5714290408972599,-0.8684018616052563,-1.3009224531537869,-2.057937064892626,-0.2632097534539953
1114,-1.6259860248303915,-0.010617011136064622,-2.359735188545082,2.0824744166007223,3.6966469148263923,-0.34630317053402015,-0.15406440223000653,-0.07639490700372847,-0.11613539202403692,-0.16004262113548362,-1.2707022339930363,-0.48324491968475825,0.8535549006977344,2.8495048726867305,0.5099047278554949,-0.03296818615676029,-0.735352494483744,-1.791327113374278,-0.14657525247517733,-1.2248424108175695,-0.5778656215970224,0.25493886650569797,-1.4791156216983259,-2.4328909599759627,0.9585780594473607,-0.01178862189656547,-0.25050664005363,0.43599399579918346,-1.6057049936361922,0.7848515673782256,0.00766698392177761,0.8155138865930179,-0.28739551955283743,-0.7109629950151549,0.28403279631228096
2359,-2.872503791939881,-0.03869541697884653,1.5745529122102908,-0.24946755783009564,-2.916280833213776,-0.02553338787208723,-0.46556598335057464,1.3501050729091646,0.41913750864228116,0.6247433363628713,-3.31787657001026,0.46147888367833106,-0.7657257146475321,1.7045232256368363,-1.7055395704958316,1.2587065708585365,-3.761190694197649,0.47218963160431865,-0.02216332332689304,-0.44035314697685557,1.7596574232581637,0.29141183261932857,2.202546590987076,-2.2458581843081333,1.228598063888897,-0.09322307603115332,-2.5618287268946585,1.1390355767637943,0.4558751196955801,-1.0510389495548584,1.713286305148,-0.44997992921886854,-1.3090730377931572,0.23866273091198587,0.022439346379170153
3111,-2.655547282618986,0.08936776014712025,3.2075488171236644,4.766742264091974,0.8592465111207697,-0.13213272341289375,0.04798397756086128,-0.07444734142292843,-0.14505913206991417,-0.3420681794603137,0.42589336693923363,0.534446914492349,0.4736760307151176,-1.3043600786695886,0.34222004504311637,0.054744217166001224,-1.6486363576734022,-0.3839146324876037,0.4936889804714829,0.3632535479374276,-0.36715317286226634,1.612791289821107,-1.177449788002547,-1.6161764803063265,-0.2553319598583058,1.1217725164940582,-0.8518084294633808,0.36657401385334204,0.7882549793629839,-0.9843386113268391,0.5168634353276476,0.5767079918670097,-1.2953371188935126,0.9850072802999179,0.4366665157372151
1012,-2.0315537487925854,-0.08645514896124241,-0.9646666977892153,-2.2137426602562535,1.410732105784335,-0.1669380476058994,0.7599642274753686,-1.8645979091350995,-0.6219294309329044,-0.528369435449258,1.5955551359855096,0.08432318612354302,-0.10467616722989742,0.15406188981809374,0.03259956090369671,-0.12626531238313501,0.14654125293342307,1.2225813443293723,0.33307012846992917,-0.14939517843759062,0.3957223259946218,-0.09397406943433254,-0.6698855555119999,0.529393813992844,0.474063768162587,0.7783581149816207,-0.7513150801161833,0.7039676446541406,-0.8732544976866708,0.2363787215634502,0.5494528786135501,-0.43415769894821404,1.7071723412551878,0.11879615251227797,-0.5174777230382696
3007,18.34112105307937,-3.4585507374481006,2.455702628691582,-3.5378188243093893,-1.2243058958247501,0.17092570629502457,-0.2374486741705956,-1.0242309320880827,-0.7870541153407714,-0.7071896644099188,-0.566829624331612,0.08403705490060427,1.4303014783500003,-0.22174826558898428,-0.8271834261513326,0.36543321783350474,0.0031473944431962527,0.7647061302443153,-0.14886329274328694,0.07940499774264148,-1.2844142271955656,0.7392833517583345,-0.4764372240552973,-0.1684603469463389,0.43574809194214253,0.2814984178865119,-0.3309563661732005,1.7146390223864223,-1.1206775404540112,-0.5701401030484797,0.736514416481566,-0.09358225871442222,-1.3882397227779077,-0.33235233685217114,0.9593015232233431
4143,-2.0168580583933347,-0.09102453375362284,2.1285649634189965,-3.3863879190735644,2.3974814756653036,-0.17355441393869753,-0.16177928251602408,0.9911132432964329,-0.1433655585623356,-0.054864006443596756,-0.7833429512570698,-2.354599921564429,1.3548725747800696,0.1695489851947236,-0.0838959091883669,0.024392303103259984,0.11591242863324082,0.9886163013838368,0.8988473363768186,2.147259292682754,-0.8758690885471785,0.2263614434127019,-1.672711970435954,-1.4812902259959326,0.9827939905942137,3.065437624272062,-1.1090347896787807,-1.0939534266152373,1.7505145508170863,0.20310465333963562,0.33844328389801887,-0.9098862318166026,-1.003113111594118,2.9708692400073904,0.7603097991474745
